1   (27, 1) (20, 1) 
10	(25, 1) (3, 2) (29, 1) 
several	(7, 2) (1, 1) 
severe	(10, 1) 
shallow	(15, 1) 
share	(4, 1) (23, 1) (29, 1) 
shareholder	(12, 1) 
shares	(12, 1) (29, 1) 
shev-ru0259-lay	(16, 1) 
shipbuilding	(22, 2) 
shizuoka	(5, 1) 
shop	(30, 1) 
shortened	(18, 1) (23, 1) 
si-derived	(24, 1) 
sides	(20, 1) 
signature	(19, 1) 
significant	(12, 1) 
silverado	(16, 2) 
similar	(28, 1) 
simply	(3, 1) (1, 1) 
since	(28, 5) (20, 2) (7, 2) (25, 1) (23, 1) (2, 1) (27, 1) (8, 1) (6, 2) (14, 2) (26, 1) 
single	(7, 1) (28, 1) 
sisters	(19, 1) 
situations	(20, 1) 
six	(19, 1) (6, 1) 
sixteen	(7, 1) 
sixth	(2, 1) 
sj	(28, 1) 
sk	(22, 1) 
skull	(20, 1) 
skyactiv	(1, 1) 
slang	(28, 1) 
sloan	(16, 1) 
slogan	(26, 1) (11, 1) 
slow	(3, 1) 
slump	(30, 1) 
small	(3, 1) (6, 1) (28, 1) (19, 1) (5, 1) 
small-block	(16, 1) 
smaller	(19, 1) 
sociu00e9tu00e9	(29, 1) 
sold	(29, 2) (23, 1) (30, 2) (16, 1) (28, 1) (7, 1) (6, 2) (26, 1) (27, 1) (8, 2) 
solely	(28, 1) 
solid	(28, 1) 
solitary	(20, 1) 
some	(20, 1) (28, 1) 
son	(10, 1) 
south	(20, 2) (22, 1) (21, 3) (16, 2) (12, 1) 
southeast	(25, 1) 
southwestern	(20, 1) 
spa	(10, 1) (29, 5) (30, 1) (8, 2) (7, 2) (27, 1) 
spanish	(30, 2) (29, 1) 
spanned	(20, 1) 
spartan	(28, 1) 
spawned	(26, 1) 
special	(16, 1) 
specializing	(18, 1) 
specialty	(16, 1) 
species	(20, 3) 
specifically	(28, 1) 
speed	(6, 1) 
spinoff	(3, 1) 
sport	(25, 1) (28, 1) 
sports	(10, 1) (19, 1) (12, 1) (7, 2) (8, 1) (18, 1) 
sports-racing	(6, 1) 
sportscar	(7, 1) 
spots	(20, 1) 
spun	(28, 1) (22, 1) (7, 1) 
spur	(6, 1) 
srt	(29, 1) (30, 2) 
stabilizing	(20, 1) 
stake	(18, 1) (3, 6) (2, 3) (16, 1) (21, 1) 
stakes	(3, 1) 
stalk-and-ambush	(20, 1) 
standalone	(30, 1) 
standard	(19, 1) (26, 2) 
standard-bearers	(16, 1) 
star	(19, 1) 
stars	(19, 1) 
started	(1, 1) (3, 1) (28, 1) (16, 1) 
starting	(16, 1) (3, 1) (26, 1) 
states	(26, 3) (16, 2) (20, 1) (30, 1) (3, 2) (29, 1) (25, 1) (12, 1) (28, 1) (14, 1) 
statesncreated	(25, 1) 
steel	(26, 1) 
stellantis	(29, 4) (27, 1) (30, 2) (28, 1) 
stewart	(28, 1) 
still	(28, 1) (3, 1) 
stock	(3, 5) (23, 1) 
stockholm	(23, 1) 
store	(22, 3) 
strait	(20, 1) 
strategy	(29, 1) 
stratus	(30, 1) 
strongest	(7, 1) 
structure	(30, 1) 
struggled	(10, 1) (29, 1) 
studiesnin	(3, 1) 
stuttgart	(18, 1) 
stylized	(23, 1) 
sub-brands	(30, 1) 
subaru	(3, 1) (19, 5) 
subcompact	(16, 1) 
subject	(3, 1) 
subsequent	(30, 2) (28, 1) (8, 1) 
subsequently	(25, 1) (6, 1) (30, 1) 
subsidiaries	(21, 1) 
subsidiary	(16, 1) (23, 1) (8, 1) (29, 5) (11, 1) (6, 1) (7, 1) 
subtropical	(20, 1) 
succeeded	(8, 1) (16, 1) 
successful	(7, 2) 
successfully	(26, 1) 
successor	(7, 1) (10, 1) 
such	(1, 2) (30, 2) (19, 1) (28, 2) 
suitable	(28, 1) 
supercar	(25, 1) 
supercars	(7, 1) 
supplier	(30, 1) 
supplies	(23, 1) 
surname	(1, 1) (11, 1) 
suv	(28, 2) (8, 1) (7, 1) (25, 1) (27, 2) 
suvs	(8, 1) (28, 3) (6, 1) (18, 1) 
suzuki	(5, 3) (3, 1) (1, 1) 
swedens	(23, 1) 
swedenthe	(23, 1) 
swedish	(23, 2) 
swimming	(20, 1) 
symbol	(24, 1) 
symmetrical	(19, 1) 
synonym	(16, 1) 
system	(3, 1) 
systems	(23, 1) (22, 1) (26, 1) 
t	(16, 1) (24, 1) 
tagline	(16, 1) 
tahara	(25, 1) 
taking	(29, 1) 
tan	(20, 1) 
targa	(7, 1) 
targets	(19, 1) 
taxpayer	(29, 1) 
taycan	(18, 1) 
team	(7, 3) 
teamnhyundai	(22, 1) 
technik	(11, 1) 
technological	(26, 1) 
technologies	(1, 1) 
technology	(3, 1) (11, 1) (14, 1) 
tenth	(5, 1) 
term	(28, 4) 
terms	(17, 1) 
terrainnin	(28, 1) 
terrains	(20, 1) 
territories	(25, 1) 
tesla	(24, 3) (2, 1) 
test	(26, 1) 
texas	(25, 1) 
than	(25, 1) (2, 1) (21, 2) (10, 1) (14, 1) (28, 1) (3, 2) (7, 1) 
that	(10, 1) (30, 2) (19, 1) (29, 1) (20, 2) (3, 3) (28, 3) (26, 1) (12, 1) (11, 1) (16, 1) 
the	(16, 30) (29, 48) (30, 31) (7, 11) (1, 14) (2, 22) (10, 14) (25, 24) (8, 22) (19, 15) (22, 10) (27, 8) (21, 1) (23, 11) (11, 20) (3, 43) (20, 28) (4, 12) (14, 11) (5, 6) (6, 15) (18, 2) (12, 15) (28, 38) (17, 9) (24, 1) (26, 30) 
their	(10, 2) (30, 2) (7, 1) (8, 1) (25, 1) (19, 2) (14, 2) (28, 1) 
them	(28, 1) (27, 1) 
then	(10, 1) (29, 1) (6, 1) 
then-german	(10, 1) 
there	(10, 1) (28, 1) 
thereof	(16, 1) 
they	(30, 1) (7, 1) (4, 1) (14, 1) 
third	(20, 1) (5, 2) 
this	(27, 1) (26, 1) (16, 1) (28, 1) 
those	(20, 1) (19, 1) 
thought	(20, 1) 
threatened	(20, 2) 
three	(26, 1) (8, 1) (29, 2) 
three-decade	(28, 1) 
through	(30, 1) (20, 1) (29, 2) (11, 1) (4, 1) (8, 1) 
throughout	(23, 1) 
thus	(11, 1) 
tied	(28, 1) 
tifosi	(7, 1) 
time	(26, 1) (25, 1) 
times	(16, 1) (8, 1) 
to	(8, 6) (25, 4) (11, 3) (10, 3) (6, 3) (21, 1) (2, 1) (1, 1) (26, 3) (7, 5) (30, 10) (9, 1) (27, 3) (15, 1) (16, 15) (4, 2) (29, 10) (19, 2) (3, 8) (20, 12) (14, 2) (28, 8) (23, 3) (12, 2) (18, 1) (17, 1) 
today	(20, 1) 
together	(11, 1) 
tokyo	(3, 1) (14, 1) 
toledo	(28, 1) 
tonn	(13, 1) (24, 1) 
tonnford	(15, 1) 
tonnnikola	(24, 1) 
took	(8, 1) (7, 1) (16, 1) (3, 1) 
top	(28, 1) (26, 1) 
top-selling	(2, 2) 
topix	(3, 1) 
tortoises	(20, 1) 
total	(3, 1) 
totaling	(21, 1) 
tourers	(7, 1) 
touring	(12, 1) 
toyo	(1, 2) 
toyoda	(3, 2) 
toyota	(3, 23) (1, 1) (25, 2) (2, 1) (19, 1) 
toyotas	(25, 1) 
tpca	(3, 1) 
traces	(2, 1) 
tractors	(8, 1) 
trade	(20, 1) 
trademark	(4, 1) 
trading	(4, 1) (22, 1) 
tradition	(19, 1) 
traditional	(16, 1) 
traditionally	(19, 1) 
train	(19, 1) 
transformed	(3, 1) 
transition	(20, 1) 
translated	(11, 1) 
translating	(17, 1) 
translation	(11, 1) 
transmission	(26, 1) 
transportation	(19, 1) 
trattori	(8, 2) 
trident	(27, 1) 
trophy	(26, 2) 
tropical	(20, 1) 
troubled	(29, 1) 
truck	(28, 1) (16, 1) 
trucks	(16, 1) (29, 1) (30, 1) (23, 2) 
trucksvolvo	(23, 1) 
trust	(29, 1) 
ttnbmw	(12, 1) 
tuberculosis	(30, 1) 
tuning	(2, 1) 
turbo	(6, 1) 
turbocharged	(19, 1) 
turn	(19, 1) (21, 1) 
turtles	(20, 1) 
twentieth	(23, 1) 
twenty	(21, 1) 
twenty-first	(19, 1) 
twin-turbo	(8, 1) 
two	(11, 1) (14, 1) (27, 1) (28, 1) 
two-thirds	(28, 1) 
type	(28, 1) (10, 4) (6, 1) (3, 1) 
u0294au02d0u02c8u0261eu02d0]	(11, 1) 
u2013	(19, 1) 
u30b9u30bau30adu682au5f0fu4f1au793e	(5, 1) 
u30b9u30d0u30eb	(19, 1) 
u30c8u30e8u30bfu81eau52d5u8ecau682au5f0fu4f1au793e	(3, 1) 
u30deu30c4u30c0u682au5f0fu4f1au793e	(1, 1) 
u30ecu30afu30b5u30b9	(25, 1) 
u4e09u83f1u30b0u30ebu30fcu30d7	(4, 1) 
u4eacu57ceu7cbeu5bc6u5de5u696d	(21, 1) 
u65e5u7523u81eau52d5u8ecau682au5f0fu4f1au793e	(2, 1) 
u672cu7530u6280u7814u5de5u696du682au5f0fu4f1au793e	(14, 1) 
uae30uc544	(21, 1) 
ubiquitous	(28, 1) 
uk	(6, 1) 
umbrella	(29, 1) 
under	(29, 2) (6, 1) (3, 1) (30, 1) (25, 1) (8, 1) (2, 2) (4, 1) (12, 2) (17, 1) 
unified	(4, 1) 
union	(11, 4) 
unit	(24, 2) 
united	(25, 2) (30, 1) (29, 3) (3, 2) (14, 1) (20, 1) (16, 2) (28, 1) (26, 4) (12, 2) 
units	(20, 1) 
unstintingly	(28, 1) 
until	(30, 1) (25, 1) (29, 1) (23, 1) 
unusual	(20, 1) 
up	(20, 2) (28, 1) (21, 1) (16, 1) 
updated	(29, 1) 
upmarket	(16, 1) 
urus	(8, 1) 
us	(28, 4) (30, 1) (29, 7) (26, 1) 
us52	(7, 1) 
us6	(21, 1) 
us68	(14, 1) 
us83	(21, 1) 
usage	(16, 1) 
use	(28, 1) (19, 1) 
used	(16, 2) (28, 4) (29, 1) 
using	(8, 1) 
usually	(18, 1) 
utility	(28, 2) 
v10-powered	(8, 1) 
v12	(8, 1) 
v12-powered	(8, 1) 
v12/electric	(8, 1) 
v8	(8, 1) (26, 1) 
value	(25, 1) (16, 1) (7, 1) 
valued	(21, 1) 
vans	(28, 1) 
variant	(16, 1) 
variants	(28, 1) 
variety	(20, 1) (4, 1) (5, 1) 
various	(1, 1) 
vauxhall	(16, 1) 
vehicle	(24, 1) (3, 3) (28, 1) (27, 1) (25, 1) (2, 2) 
vehicles	(2, 2) (3, 6) (5, 1) (11, 2) (29, 3) (26, 2) (12, 4) (19, 2) (16, 8) (22, 1) (25, 3) (1, 2) (21, 1) (27, 1) (30, 2) (28, 5) 
vehiclestoyota	(3, 1) 
vehiclesu2014both	(28, 1) 
vehiclesu2014such	(28, 1) 
ventured	(14, 1) 
verge	(29, 1) 
version	(25, 1) 
versions	(19, 1) 
via	(19, 1) (20, 1) 
vickers	(6, 2) 
victories	(7, 2) (10, 1) 
viper	(30, 2) 
volk	(17, 1) 
volkswagen	(17, 2) (2, 1) (11, 3) (6, 3) (30, 1) (8, 2) (18, 1) 
volkswagens	(6, 1) 
volume	(16, 1) (5, 3) (14, 1) (1, 1) 
volvo	(23, 15) 
volvokoncernen	(23, 1) 
vorsprung	(11, 1) 
voting	(2, 1) 
vpower	(8, 2) 
vw	(17, 1) 
vws	(6, 1) 
w	(6, 1) 
wagen	(17, 1) 
wagoneer	(28, 2) 
wake	(28, 1) (8, 1) 
walter	(29, 2) 
wanderer	(11, 1) 
wankel	(1, 1) 
war	(28, 5) (4, 1) (17, 1) (3, 1) 
was	(3, 5) (28, 1) (29, 11) (5, 1) (19, 1) (1, 2) (6, 3) (7, 4) (4, 1) (23, 6) (16, 4) (26, 2) (12, 2) (11, 1) (8, 2) (2, 4) (10, 3) (14, 2) (30, 9) (22, 1) (27, 1) 
watercraft	(14, 1) 
way	(3, 1) 
weakened	(30, 2) 
weight	(20, 1) 
well	(30, 1) (1, 1) (28, 2) (29, 1) (7, 1) (3, 1) (2, 1) 
went	(28, 1) 
were	(28, 1) (1, 1) (26, 1) (30, 2) (29, 1) (25, 1) (16, 1) (8, 1) (10, 1) 
werke	(12, 1) 
western	(19, 1) 
wetlands	(20, 1) 
wheel	(19, 1) 
wheelchairs	(5, 1) 
when	(17, 1) (28, 1) (29, 2) (23, 1) (11, 1) (3, 1) 
where	(3, 1) (8, 1) (7, 3) 
which	(7, 1) (29, 2) (25, 1) (19, 2) (12, 1) (1, 1) (28, 1) (14, 1) (17, 1) (4, 1) (3, 2) (11, 1) (16, 1) (22, 2) (18, 1) (21, 1) 
while	(5, 1) (2, 1) (14, 1) (23, 1) (3, 1) (16, 1) 
who	(19, 1) (26, 1) 
whom	(19, 1) 
wide	(16, 1) 
widely	(6, 1) 
wild	(20, 1) 
will	(8, 1) 
william	(16, 1) 
willysu2013overland	(28, 1) 
win	(26, 1) 
winning	(6, 1) (1, 1) 
wins	(7, 1) 
wisdom	(1, 1) 
with	(1, 2) (7, 1) (6, 5) (2, 5) (21, 1) (28, 2) (25, 2) (29, 7) (26, 1) (8, 1) (12, 2) (16, 9) (30, 4) (19, 2) (20, 3) (3, 2) (14, 2) (11, 3) (23, 1) (27, 1) (10, 1) 
withdrawn	(16, 1) 
within	(26, 1) 
wolfsburg	(17, 1) 
won	(26, 1) (7, 1) 
wooded	(20, 1) 
word	(28, 1) 
worked	(29, 1) 
workers	(29, 2) 
world	(28, 4) (26, 2) (17, 1) (1, 1) (4, 1) (2, 2) (20, 1) (7, 1) (3, 6) 
worldhonda	(14, 1) 
worldnn	(11, 1) 
worlds	(2, 1) (5, 1) (12, 1) (14, 2) (3, 2) (23, 1) (7, 1) 
worldwide	(5, 1) (28, 1) (29, 1) (16, 1) (17, 1) (6, 1) (26, 2) (25, 1) (8, 2) (19, 1) 
worldwidensuzuki	(5, 1) 
worldwidenthe	(11, 1) 
worldwideprior	(28, 1) 
worth	(28, 1) 
worthy	(28, 1) 
would	(16, 3) 
wrangler	(28, 2) 
wrx	(19, 1) 
xt	(19, 1) 
xtnin	(19, 1) 
yamaha	(3, 1) 
yankee	(28, 1) 
yataru014d	(4, 1) 
year	(3, 1) (14, 1) (30, 3) 
yearly	(27, 1) 
yearnthe	(3, 1) 
years	(29, 2) (30, 1) 
yellow	(20, 1) 
yokohama	(2, 1) 
york	(3, 1) 
zaibatsu	(2, 1) (4, 1) 
zoroastrianism	(1, 1) 
zwickau	(6, 1) 
